# ID; ID_UCENIKA; ID_TERMINA; DA_LI_JE_OCIJENJEN
0000; 0000; 0000; true
0001; 0000; 0004; true
0002; 0001; 0001; true
0003; 0001; 0005; true
0004; 0002; 0001; true
0005; 0002; 0003; true
0006; 0002; 0006; true
0007; 0002; 0002; false
0008; 0003; 0007; true
0009; 0003; 0008; false
0010; 0004; 0002; true
0011; 0004; 0008; true
0012; 0005; 0000; true
0013; 0005; 0001; true
0014; 0006; 0003; true
0015; 0006; 0007; true
0016; 0007; 0008; true
0017; 0007; 0005; true
0018; 0008; 0006; true
0019; 0008; 0004; true
0020; 0009; 0002; true
0021; 0009; 0003; true
