# ID_REZULTATA; OSVOJENO_BODOVA; OCJENA; ID_TESTA; ID_UCENIKA; ID_TERMINA
0000; 98; 10; 0000; 0000; 0000
0001; 13; 5; 0005; 0000; 0004
0002; 90; 10; 0001; 0001; 0001
0003; 33; 5; 0006; 0001; 0005
0004; 90; 10; 0001; 0002; 0001
0005; 50; 10; 0003; 0002; 0003
0006; 47; 5; 0007; 0002; 0006
0007; 100; 10; 0008; 0003; 0007
0008; 84; 9; 0002; 0004; 0002
0009; 77; 8; 0009; 0004; 0008
0010; 71; 8; 0000; 0005; 0000
0011; 66; 7; 0001; 0005; 0001
0012; 35; 7; 0003; 0006; 0003
0013; 58; 6; 0008; 0006; 0007
0014; 67; 7; 0009; 0007; 0008
0015; 83; 9; 0006; 0007; 0005
0016; 77; 8; 0007; 0008; 0006
0017; 32; 7; 0005; 0008; 0004
0018; 85; 9; 0002; 0009; 0002
0019; 44; 9; 0003; 0009; 0003
