# ID_UPLATE; DATUM_UPLATE; IZNOS; id_ucenika; id_kursa
0000; 11.01.2021; 300.0; 0000; 0000
0001; 12.01.2021; 200.0; 0002; 0001
0002; 20.01.2021; 350.0; 0004; 0004
0003; 20.01.2021; 200.0; 0004; 0005
0004; 19.02.2021; 200.0; 0000; 0001
0005; 20.02.2021; 300.0; 0005; 0000
0006; 20.02.2021; 200.0; 0005; 0001
0007; 23.02.2021; 250.0; 0002; 0002
0008; 20.03.2021; 250.0; 0006; 0002
0009; 20.03.2021; 400.0; 0006; 0003
0010; 29.03.2021; 225.0; 0000; 0002
0011; 08.04.2021; 200.0; 0001; 0001
0012; 09.04.2021; 300.0; 0001; 0006
0013; 20.04.2021; 200.0; 0007; 0005
0014; 20.04.2021; 300.0; 0007; 0006
0015; 20.05.2021; 300.0; 0008; 0000
0016; 27.05.2021; 300.0; 0002; 0000
0017; 20.06.2021; 250.0; 0008; 0002
0018; 25.06.2021; 315.0; 0002; 0004
0019; 28.06.2021; -2500.0; ; 
0020; 08.07.2021; 400.0; 0003; 0003
0021; 20.07.2021; 350.0; 0009; 0004
0022; 01.08.2021; 250.0; 0009; 0002
0023; 09.08.2021; 200.0; 0003; 0005
0024; 29.08.2021; 270.0; 0000; 0006
0025; 31.08.2021; -4908.0; ; 
