# ID_ZAHTJEVA; ID_UCENIKA; ID_KURSA; STANJE; DATUM_SLANJA; datum_obrade; id_sekretara; uloga
0000; 0000; 0000; PRIHVACEN; 10.01.2021; 11.01.2021; 0000; SEKRETAR
0001; 0000; 0001; PRIHVACEN; 19.02.2021; 19.02.2021; 0001; SEKRETAR
0002; 0000; 0002; PRIHVACEN; 23.03.2021; 29.03.2021; 0000; SEKRETAR
0003; 0000; 0006; ODBIJEN; 24.04.2021; 25.04.2021; 0000; SEKRETAR
0004; 0001; 0001; PRIHVACEN; 07.04.2021; 08.04.2021; 0000; SEKRETAR
0005; 0001; 0006; PRIHVACEN; 08.04.2021; 09.04.2021; 0001; SEKRETAR
0006; 0002; 0001; PRIHVACEN; 10.01.2021; 11.01.2021; 0000; SEKRETAR
0007; 0002; 0002; PRIHVACEN; 22.02.2021; 23.02.2021; 0001; SEKRETAR
0008; 0002; 0000; PRIHVACEN; 25.03.2021; 27.05.2021; 0000; SEKRETAR
0009; 0003; 0004; PRIHVACEN; 22.04.2021; 25.06.2021; 0000; SEKRETAR
0010; 0003; 0003; PRIHVACEN; 07.05.2021; 08.07.2021; 0000; ADMINISTRATOR
0011; 0003; 0005; PRIHVACEN; 08.06.2021; 09.08.2021; 0001; SEKRETAR
0012; 0003; 0000; ODBIJEN; 24.07.2021; 25.07.2021; 0000; SEKRETAR
0013; 0004; 0004; PRIHVACEN; 20.01.2021; 20.01.2021; 0000; SEKRETAR
0014; 0004; 0005; PRIHVACEN; 20.01.2021; 20.01.2021; 0000; SEKRETAR
0015; 0005; 0000; PRIHVACEN; 20.02.2021; 20.02.2021; 0001; SEKRETAR
0016; 0005; 0001; PRIHVACEN; 20.02.2021; 20.02.2021; 0001; SEKRETAR
0017; 0006; 0002; PRIHVACEN; 20.03.2021; 20.03.2021; 0000; SEKRETAR
0018; 0006; 0003; PRIHVACEN; 20.03.2021; 20.03.2021; 0000; SEKRETAR
0019; 0007; 0005; PRIHVACEN; 20.04.2021; 20.04.2021; 0000; SEKRETAR
0020; 0007; 0006; PRIHVACEN; 20.04.2021; 20.04.2021; 0000; SEKRETAR
0021; 0008; 0000; PRIHVACEN; 20.05.2021; 20.05.2021; 0001; SEKRETAR
0022; 0008; 0002; PRIHVACEN; 20.06.2021; 20.06.2021; 0001; SEKRETAR
0023; 0009; 0004; PRIHVACEN; 20.07.2021; 20.07.2021; 0000; SEKRETAR
0024; 0009; 0002; PRIHVACEN; 01.08.2021; 01.08.2021; 0000; SEKRETAR
0025; 0002; 0006; U_OBRADI; 29.08.2021; ; ; 
0026; 0003; 0002; U_OBRADI; 30.08.2021; ; ; 
